symptoms,sentences
['Reflux'],"In the near future, acid-suppressing drugs (such as omeprazole, etc.), gastrointestinal motility drugs (such as mosapride, cisapride, etc.) can be used, and gastric mucosal protection drugs (such as Daxi, etc.). Because your father’s gastritis is accompanied by bile reflux, it is better to use drugs that promote gastrointestinal motility and protect gastric mucosa."
['allergy'],You go to Taobao to buy some Mushroom Rice Dilute Conditioner that will not be allergic.
['Helicobacter infection'],"When we have Helicobacter pylori infection, these two medicines are used to treat Helicobacter pylori together with the other two medicines."
['Helicobacter infection'],"Bismuth potassium citrate, omeprazole, amoxicillin, clarithromycin are quadruple anti-Helicobacter pylori treatment."
"['stomachache', 'Reflux', 'Heartburn']","Is there acid reflux, heartburn?"
"['stomach ache', 'nausea', 'Vomit']","Nausea, vomiting, severe epigastric pain?"
['Reflux'],"If you have a gastritis or reflux esophagitis caused by excessive gastric acid secretion, you usually use these two medicines. If the symptoms are obvious, you can also add a medicine to protect the gastric mucosa, such as chewable tablets with magnesium carbonate."
['Reflux'],Is acid reflux obvious? Do you usually eat enough to eat? Do you go to bed as soon as you finish eating? When is acid reflux more obvious during the day? After eating? Or when you lie down to sleep? Or when?
"['stomach ache', 'Bloating', 'nausea', 'Helicobacter infection', 'Vomit', 'Reflux']","What if you don’t have a Helicobacter pylori infection? The esophagus has no lesions. This is a simple reflux disease. There are usually no symptoms such as nausea, vomiting, abdominal pain, upper abdomen fullness, etc. It is almost the same to suppress gastric acid, promote gastrointestinal motility, and protect the gastric mucosa. ."
['Helicobacter infection'],"But if you have Helicobacter pylori infection and stomach lesions, such as gastric ulcer or duodenal ulcer, then you need regular treatment. Your intermittent medication will not work. On the one hand, it wastes money and on the other hand, it is effective. It won't be so good. Therefore, I suggest that you go to the outpatient department of gastroenterology of the hospital from Monday to Friday when you are free. Well, make an appointment for a carbon 14 insufflation experiment and gastroscopy."
['Reflux'],"Hello, drinking tea will cause it. The pressure on the lower sphincter of the embassy will decrease, which will aggravate the reflux symptoms, so you should not drink tea at the moment. Drink as little as possible or even not drink. Drinking a lot of alcohol will aggravate stomach problems and even cause it. Stomach bleeding. Don't drink coffee, don't eat too full, don't eat too greasy, too spicy, or too hot. These bad eating habits will make your symptoms worse. esophagus."
"['stomach ache', 'Bloating', 'nausea', 'Vomit', 'Reflux', 'Heartburn']","In addition to nausea, do you have vomiting, abdominal pain, abdominal distension, acid reflux, and heartburn?"
['Gastrointestinal disorders'],Stomach dysfunction may be related to the spicy and irritating food you have eaten before.
['Restless'],It should not be serious. Don't be too anxious. Anxiety will aggravate the symptoms.
"['Hiccup', 'Reflux']",Are there hiccups and acid reflux.
['Reflux'],You can try some omeprazole to see if it works. Consider that there is still reflux.
['Reflux'],I love to spit out sour water when I eat sweets.
"['Hiccup', 'Reflux']","Hello, have you undergone gastroscopy or barium meal examination? Are the stool characteristics normal? Do you feel gas in your stomach? Do you have hiccups or acid reflux."
['exhaust'],Will it be relieved after farting or defecating?
"['indigestion', 'Gastrointestinal disorders', 'Dysbacteriosis']","It should be functional dyspepsia or functional gastrointestinal disease, with gastrointestinal motility disorders\intestinal flora imbalance, resulting in excessive gas production in the intestines\poor food digestion and absorption capacity, and a gastrointestinal barium meal inspection\test is required in the gastroenterology department. Stool is clear, after the diagnosis of functional gastrointestinal disease, you need to take Yushengliwei\Intestinal Health Conditioning; if it is indigestion, you need to add multi-enzyme tablets, the latter is a drug that supplements digestive enzymes, so do not drink it temporarily Milk and soy milk and other foods that are easy to ferment and produce gas, eat less spicy raw and cold fried foods, quit smoking and alcohol, and wish a speedy recovery."
"['Bloating', 'Gastrointestinal discomfort', 'stomachache']","Gastroscopy is to check the surface of the gastric mucosa. You have no symptoms such as stomach bloating and stomach pain. It should not be gastric disease. It is just caused by poor gastric and intestinal motility. It cannot be detected by gastroscopy. In this case, a gastrointestinal barium meal is required. I wish you good health."
"['nausea', 'Vomit']","Then you should take metoclopramide first, and treat the nausea and retching first."
"['Vomit', 'diarrhea']","It may be a bad stomach, and the barbecue was eaten before it was cooked. Emergency gastroenteritis. Still vomiting and diarrhea now? How many times did you pull it?"
"['Bloating', 'Hiccup', 'Reflux']","Hello, do you have hiccups, do you have bloating?"
"['cough', 'Sputum', 'Sore throat', 'Stuffy nose', 'sneeze']","Do you have nasal congestion, runny nose, sneezing, sore throat, cough, sputum?"
['Gastrointestinal discomfort'],Do you mean pain or swelling when you talk about stomach discomfort?
"['Gastrointestinal discomfort', 'Reflux', 'Heartburn']","You have never responded. If your stomach is uncomfortable, you have acid reflux, heartburn, fullness, and discomfort, you can take omeprazole and trimebutine maleate by mouth."
"['Bloating', 'Reflux']",Omeprazole can be taken orally for stomach acid reflux. Do you have bloating?
"['Sore throat', 'Stuffy nose', 'sneeze', 'Dizziness']","This cures dizziness. Have nasal congestion, runny nose, sneezing and sore throat?"
"['cough', 'Sputum']",Do you have a cough and sputum? What was there before? _?
['Cramps'],"Oh, let's go, it may be the intestinal cramps caused by the cold yesterday."
['Loose stool'],"Usually the stool does not form, you can use the spleen and intestine pills. It has little to do with smoking."
['Cramps'],"If it is intestinal cramps, it should heal soon. You're welcome."
['Reflux'],Your situation is bile reflux gastritis. Take some medicine: omeprazole + hydrotalcite (Daxi) + domperidone. Eat for 2-4 weeks.
['Heartburn'],What medicine did you take before? Usually heartburn not heartburn?
['Reflux'],"It's normal. The esophageal sphincter is relaxed when sleeping, and it is easy to reflux. You can raise your pillow, don't eat too much for dinner, and strictly forbid eating before going to bed. Your pharyngitis should also be caused by reflux. So your reflux situation should be controlled. The medicine I prescribed for you just now should be effective."
['stomach ache'],Hi! Welcome to health consultation. Do you have abdominal pain?
['Gastrointestinal disorders'],There is also intestinal dysfunction.
"['diarrhea', 'stomach ache', 'nausea', 'Vomit', 'Reflux']","Taking medicine is much better. Was there acid reflux, nausea and vomiting? Do you have abdominal pain and diarrhea?"
['Gastrointestinal disorders'],First consider intestinal dysfunction and take some medicine.
"['Reflux', 'Heartburn']",Are there acid reflux heartburn?
"['indigestion', 'Cramps']",I caught a cold in my stomach. A little cramping and indigestion.
"['Cramps', 'Gastrointestinal disorders']","Spasms are disturbances in intestinal motility, and there will be paroxysmal pain."
['diarrhea'],How long has this situation been? Is there any diarrhea?
"['stomach ache', 'Bloating', 'Reflux', 'Heartburn']","Hello, except for upper abdominal distension and pain, is there any heartburn and acid reflux?"
['Helicobacter infection'],There is a burning sensation in the upper abdomen. Have you checked the gastroscope and Helicobacter pylori?
['Helicobacter infection'],"Hmm, yes. C13 is for Helicobacter pylori."
['Reflux'],"If there is acid reflux, it is best to add omeprazole. If the effect of domperidone is not satisfactory, try mosapride to see how effective it is."
['diarrhea'],"Hello, how long has the diarrhea been? Have you ever had diarrhea before?"
['diarrhea'],Are you still having diarrhea?
['diarrhea'],"Yesterday, diarrhea was weak and the body was weak. It is normal that it will leak if I don’t recover today."
['Dehydration'],"If you pull too many times, your body will be overwhelmed, which will lead to dehydration and electrolyte disturbances."
['diarrhea'],Did you eat something before the diarrhea or caught a cold?
['diarrhea'],"Hello, how many days have you had diarrhea, how many times a day now? What medicine did you take before?"
['Gastrointestinal disorders'],It is certain that there is a disorder of gastrointestinal function. The effect may not be very good.
['intestinal obstruction'],There was no exhaust for a few days. Consider intestinal obstruction.
"['Bloating', 'Perianal pain']",Has the flatulence improved after taking the stool?
['Bloating'],You may be flatulence caused by poor bowel movements.
"['Bloating', 'indigestion']","Yes, I feel that there are also autonomic disorders, which can easily cause bloating and indigestion."
['fever'],"Hello, are there any other symptoms besides fever?"
['Stuffy nose'],There are no symptoms of nasal congestion and runny nose.
"['nausea', 'Vomit', 'Headache']","Have headaches, nausea and vomiting?"
"['nausea', 'Vomit', 'Headache']","Headache, nausea and vomiting, stiff neck."
['fever'],Have a fever?
['fever'],"It is estimated to have a fever, please measure it."
['Anorexia'],How can it be so fast. It takes about two days to take the medicine to get better.
['stomachache'],"In a good professional term, it may be stomach pain."
"['hemorrhoid', 'Blood in stool']","Hello, according to what you said, the condition of blood in the stool, one is that it may be caused by eating spicy food or stimulation of tobacco and alcohol, and the other is that it may also cause constipation, but it is not ruled out that you have hemorrhoids or other anorectal diseases. Is this the first time blood in the stool has occurred? Do you have any constipation? Did you eat spicy food or drink alcohol?"
['Loose stool'],How many times do you have stool a day? Isn't it shaped?
"['stomach ache', 'Perianal pain']",Is there any abdominal pain or anal pain or discomfort?
['hemorrhoid'],That may be the case of hemorrhoids.
['hemorrhoid'],"You can temporarily take the Chinese patent medicine Yunnan Baiyao Capsules to stop bleeding, and at the same time with the topical Mayinglong Musk Hemorrhoid Ointment, the effect should be good."
['indigestion'],"Normally, we must develop good eating and living habits. First, three meals a day must be eaten on time and must be eaten well. Do not eat spicy and irritating foods and greasy foods, do not eat cold foods and non-digestible foods, and do not overeating , Pay attention to a light diet, you can eat small meals."
['Helicobacter infection'],"Helicobacter pylori positive should be treated in time, otherwise it will easily cause gastritis or gastric ulcer. Don't be nervous, it's okay."
['Helicobacter infection'],"Drug recommendations: 1-14 days, anti-Helicobacter pylori treatment + stomach protection treatment: amoxicillin clavulanate potassium + clarithromycin + Nexium + pectin bismuth + Kangfuxin liquid; 15-30 days, stomach protection Treatment: Nexium + Kangfu Xinye. One month after the drug was stopped, the Helicobacter pylori insufflation test was rechecked."
['Bloating'],Are there any other symptoms besides bloating?
"['stomach ache', 'Hiccup', 'Reflux', 'Heartburn']","Do you have acid reflux, heartburn, belching, or abdominal pain? Is the stool normal?"
['Bloating'],Is the entire abdomen bloated? Do you take your own medicine?
"['Reflux', 'Heartburn']",Do you eat regularly? Is there heartburn or acid reflux?
['indigestion'],"Basically, it was because of poor rest yesterday, improper diet, indigestion, or gastric disease, and stomach acid erosion in the morning on an empty stomach."
['diarrhea'],"In addition, the medicine can be supplemented with probiotics such as Zhengchangsheng or Meichangan, but I think that by improving your diet and living habits, exercising more, not staying up late, adjusting your mood, and not taking medicine, your symptoms of cold and diarrhea will also improve. Is there any pressure in life?"
['hemorrhoid'],"Hello, consider it is not hemorrhoids, but anal nipple hypertrophy."
['stomach ache'],Where does the stomach hurt?
['stomach ache'],"If the stomachache is severe, you need to go to the hospital for examination."
['Gastrointestinal disorders'],There may be intestinal dysfunction. It is recommended to take trimebutine maleate ➕ Deshute.
"['Bloating', 'fever', 'Hiccup']","Do you have other symptoms such as bloating, hiccups, pantothenic acid and fever?"
['intestinal obstruction'],Is the bowel obstruction?
['intestinal obstruction'],"Generally, jujube nuclei rarely cause intestinal obstruction."
['Bloating'],"If you don’t have gas, you will have bloating. Take a few more days to observe."
['Gastrointestinal discomfort'],"After eating, the stomach discomfort worsens or relieves."
['Cramps'],Consider stomach cramps. Do not rule out gastritis.
['stomach ache'],"By the way, if you often stay up late, spicy and fatty food stimulates your diet, drinking or combined with liver and gallbladder diseases can also cause upper abdominal pain, you can use Jigucao capsules for treatment."
['Bowel'],"Mental and psychological factors have a great influence on the gastrointestinal tract, which is known as the second brain of the human body. Therefore, it is very important to control emotions and adjust the pressure appropriately."
['Gastrointestinal disorders'],"Your situation is intestinal dysfunction. If you have time, you can go for a colonoscopy to rule out organic diseases. If it’s okay, it’s because of the dysfunction caused by stress. As long as the pressure is adjusted appropriately, it will gradually get better."
['Black stool'],"Generally speaking, it is like this: the color of stool is affected by many factors and the characteristics of the food eaten. For example, eating a lot of food containing leafy vegetables, chlorophyll will cause the stool to appear green. Sometimes it is also related to the passage time of the gastrointestinal tract. If the gastrointestinal tract passes quickly, the food is not fully digested and absorbed, and the color of the discharge may be darker and a little green. There are also changes in the pH of the food. There may be some changes in the pH secretion of the gastrointestinal tract, or the pH secreted by the bacteria in the intestines, and the stool will also appear green. Sometimes the stool is black, greenish, gray or gray-green due to the influence of the drugs you eat. For example, Livzon Dele and other bismuth-containing drugs can cause the stool to appear black and green."
['Gastrointestinal discomfort'],"So far, there is no obvious abdominal discomfort, and the symptoms are not serious. You can take medicine and observe for a few days."
['Helicobacter infection'],"Chronic gastritis, hypersecretion of gastric acid, Helicobacter pylori infection."
['indigestion'],Did you eat something difficult to digest before?
['Vomit'],Did you vomit?
['diarrhea'],Did you have diarrhea after drinking water?
['diarrhea'],"Then you have to fast water right now, until dinner, if there is no diarrhea in the middle, you can eat dinner, it is recommended to have a light diet."
['diarrhea'],"Now consider acute gastroenteritis, fasting is to rest the intestines, and the diarrhea will naturally stop."
['allergy'],"Then you have to take medicine, but you have to fast and infusion if necessary. Have you ever eaten Diarrhea? Are you allergic to sulfa?"
['diarrhea'],"One kind will do, 0.2 grams each time, twice a day. Stop the medicine if you don't have diarrhea."
"['fever', 'indigestion']","Did you write 15 months above? Indigestion is common in children of 3 months, so don't worry too much. It can be used for a week. This is for children only, but don't eat it when the resistance to fever and cold is low."
['fever'],Low fever may be an intestinal infection.
"['diarrhea', 'Bloating', 'Vomit']","Hello! Are there any other discomforts besides bloating? For example, vomiting, diarrhea."
['stomach ache'],Will my stomach hurt?
['indigestion'],"OK. Your situation is considered to be acute gastroenteritis. Eating food is too mixed, and Coke is prone to indigestion before. It's not a big problem."
"['diarrhea', 'Vomit']","The problem is not big. In severe cases, it can cause vomiting and diarrhea."
['Helicobacter infection'],Check for Helicobacter pylori.
['fever'],"Hello, according to your description, this is still considering the problem of acute gastroenteritis in the gastrointestinal tract. Now consider low fever. You have to use some digestive medicine. how old are you."
['diarrhea'],Severe diarrhea can take some montmorillonite powder.
['Bacterial infections'],"Yes, there is a bacterial infection."
['Anorexia'],"Yes, it will cause loss of appetite."
['diarrhea'],"Of course, don't eat montmorillonite if you don't have diarrhea. Prone to constipation."
['diarrhea'],Diarrhea is very likely to be an irritable bowel syndrome.
"['Fatigue', 'Dizziness']",Are there dizziness and fatigue?
"['indigestion', 'Gastrointestinal disorders']","According to your description of the condition and related symptoms, consider poor sleep, gastric dysfunction, and indigestion caused by eating and not paying attention to diet."
['Helicobacter infection'],"First, it is recommended to improve gastroscopy and Helicobacter pylori detection. Secondly, omeprazole, Schrin and Mosapride can be taken orally for at least 1 week in drug treatment."
['Blood in stool'],"Hello, do you bleed after defecation?"
['hemorrhoid'],"It is estimated that it is internal hemorrhoids, it's okay, pay attention to spicy food, do not eat, go to bed early. There is no need to take medicine at this time."
['hemorrhoid'],"Hmm, hemorrhoids are related to dry stool, so I usually eat more fruits. Are you going to high school now."
['hemorrhoid'],"The problem is not big, hemorrhoids are very common."
['Helicobacter infection'],Helicobacter pylori is generally parasitic in the gastric mucosa.
['hemorrhoid'],"Hemorrhoids, inflammation, etc. may lead to the incomprehensibility of what you said in the future."
['fever'],"Hello, what is the highest fever?"
"['diarrhea', 'Loose stool']",Is diarrhea a loose stool?
"['Gastrointestinal discomfort', 'stomachache']","Stomach is uncomfortable, is it stomachache?"
['diarrhea'],How many times did you have diarrhea today?
['Dehydration'],"Considering gastroenteritis, it is recommended to have a light diet recently, eat less greasy and sweet foods, drink porridge or noodles, and drink plenty of water to prevent dehydration."
"['stomach ache', 'Bloating']","There is no feeling of abdominal pain or bloating, is it?"
"['stomach ache', 'Bloating']","When this happens, as long as there is no abdominal pain, bloating, and significant changes in the frequency of bowel movements, nothing will happen."
['Blood in stool'],Have you never seen blood in your stool?
"['diarrhea', 'Helicobacter infection']",Helicobacter pylori mainly causes symptoms in the stomach and generally does not cause diarrhea.
['Bloating'],"This occasional bloating is generally not an independent disease state, and you can take another look."
['Gastrointestinal disorders'],"According to the above description, there is no big problem. There may be intestinal dysfunction due to stress and mood. This may be."
"['nausea', 'Reflux']",Do you usually have symptoms such as nausea and acid reflux?
['Helicobacter infection'],Have you been tested for Helicobacter pylori?
['Bloating'],Rule out gallstones or cholecystitis. Do you usually have abdominal distension?
['Blood in stool'],How long have you been in this situation? Is it stool? Blood?
['hemorrhoid'],Do you usually have a bowel movement? Do you have hemorrhoids?
['hemorrhoid'],"In this case, it is best to go to the anorectal department of the hospital to see if it is bleeding from hemorrhoids. Other current chances are very small."
['indigestion'],"Well, currently consider that you have poor gastrointestinal motility and indigestion."
['indigestion'],"Yes, if you take care of your indigestion, your sleep will also improve."
"['stomach ache', 'Bloating']","Hello, Kaisailu is injected into the anus, there is no adverse reaction, and pregnant women can also use it. Do you have a bowel movement every few days? Do you have abdominal pain and bloating?"
"['stomach ache', 'Bloating']",Do you have abdominal pain and bloating? Are the stools dry?
"['Reflux', 'Heartburn']","Do you have acid reflux, heartburn, or stomach problems?"
['Reflux'],Such as reflux esophagitis? Peptic ulcer? Hiatal hernia?
['Gastrointestinal discomfort'],It has something to do with your bad stomach.
['exhaust'],"Fart, too much, eat less meat."
['diarrhea'],"There may be diarrhea, the weather is hot, and it will be bad if left for so long."
['diarrhea'],"Um, no diarrhea, right?"
['Vomit'],Do not worry. Drink more water. Or spit it out.
"['indigestion', 'Lack of energy', 'allergy', 'Anorexia']","Injury one: deafness and tinnitus. Lack of sleep can cause insufficient blood supply to the inner ear and damage hearing. Staying up late for a long time may cause deafness. Injury two: obesity. People who stay up late often eat ""night snacks"", which is not only difficult to digest, but also loses appetite the next morning, resulting in imbalanced nutrition and obesity. Injury three: skin damage. The skin enters the state of maintenance at 10-11 pm. Staying up for a long time will cause the human endocrine and nervous system to become imbalanced, resulting in dry skin, poor elasticity, dullness, acne, acne, dark spots and other problems. Injury four: memory loss. The sympathetic nerves of those who stay up all night remain excited at night, and during the day they will experience lack of energy, dizziness, memory loss, inability to concentrate, and unresponsiveness. Over time, problems such as neurasthenia and insomnia will occur. Injury five: gastrointestinal crisis. Human gastric mucosal epithelial cells are renewed every 2-3 days on average, and it is usually done at night. If you eat at night, the gastrointestinal tract will not get rest, which will affect its repair process. At the same time, the supper stays in the stomach for a long time, which promotes the secretion of gastric juice and causes irritation to the gastric mucosa. Over time, it is easy to cause gastric mucosal erosion and ulcers. Injury six: decreased immunity. Often staying up late, tired, and mentally weak, the body's immunity will decline, and colds, allergies, etc. will find you unexpectedly. Injury seven: risk of heart disease. People who have been ""black and white"" for a long time will not only have bad temper, but also the internal organs will not be adjusted in time, which will increase the risk of heart disease."
['Lack of energy'],"Take 10 grams each of American ginseng, wolfberry, and astragalus as a daily amount. Decoction and drink can play the role of nourishing qi, nourishing yin, clearing heat and reducing fire, eliminating fatigue, and enhancing immunity. In addition, when you feel tired, you might as well rest for half an hour, or take deep breaths every half an hour. Not only can it increase the oxygen supply to the brain, but it can also drive away sleepiness and keep the mind awake."
['Bowel'],"Hello, gastritis does not affect the cold water bath, but the weather is cold, cold water bath is easy to catch a cold."
"['Vomit', 'Reflux']","Hmm, is there acid reflux, vomiting?"
['diarrhea'],Do you have diarrhea?
['fever'],Have a fever. NS.
"['stomach ache', 'fever', 'jaundice', 'Chills']","The main manifestation of biliary obstruction is jaundice, accompanied by dull upper abdominal pain, chills and fever, and the nature of abdominal pain is generally distending and colic, and sometimes colic is a significant symptom."
['indigestion'],"uncertain. If it is an occasional one, it may be caused by indigestion. At this time, you can take a little medicine to adjust it."
"['stomach ache', 'Gastrointestinal discomfort', 'jaundice']","If there are no other discomforts such as jaundice, abdominal pain, etc., then it is not a big problem."
['indigestion'],"Normally, we must develop good eating and living habits. First, three meals a day must be eaten on time and must be eaten well. Do not eat spicy and irritating foods and greasy foods, do not eat cold foods and non-digestible foods, and do not overeating , Pay attention to a light diet, you can eat small meals."
['stomach ache'],"Which part of the stomach hurts, around the belly button or the lower abdomen?"
['Loose stool'],How many times a day have loose stools?
['Vomit'],What vomit?
['Loose stool'],Is it loose?
"['nausea', 'Vomit']",Do you have nausea and vomiting?
['Gastrointestinal discomfort'],Consider gastrointestinal problems.
['exhaust'],Do you fart too much?
['hemorrhoid'],"I think about hemorrhoids, low back pain is not necessarily, it needs to be observed."
"['diarrhea', 'Loose stool', 'Blood in stool']","I have had diarrhea for a few days, do I have blood in my stool if I have a few times a day?"
['stomach ache'],"Hmm, I suggest that these two days have a light diet, drink some porridge, eat some pickles, drink plenty of warm water, buy a Meichangan to eat, and if the upper right abdomen continues to hurt, go to the hospital for a color Doppler ultrasound."
['jaundice'],High indirect bilirubin is generally hemolytic jaundice. Direct high bilirubin is generally obstructive jaundice. Both are high is hepatocellular jaundice!
['exhaust'],It has nothing to do with gastritis. It may have something to do with gallbladder stones. How fart is usually.
['Dysbacteriosis'],"Your cause may not be entirely caused by oil, it may also be caused by other reasons such as intestinal flora imbalance."
"['Bloating', 'Hiccup', 'Reflux']",Hiccups? Is it acid water? Is it bloating?
"['diarrhea', 'stomach ache', 'Bloating', 'nausea', 'Vomit']","Do you have nausea, vomiting, bloating, abdominal pain, and diarrhea?"
['indigestion'],"1. You can take some Lizhong pills to see 2. You can warm your baby at night 3. Eat some ginger appropriately at ordinary times, and eat less spicy, hard and difficult-to-digest things."
"['nausea', 'Vomit']",Do you still want to vomit today?
['Loose stool'],Is the stool very loose?
['stomach ache'],right. Female patients with lower abdomen pain consider gynecological inflammation.
['diarrhea'],"Once every 3 hours, this is not constipation, but diarrhea."
"['fever', 'nausea', 'Vomit']","How do you usually eat? Is there nausea, vomiting, fever?"
['stomach ache'],"Do you have abdominal pain? Are there any digestive system diseases, such as ulcers, gastritis, etc.?"
['Bacterial infections'],"Try not to use antibiotics. In response to this consultation, the doctor updated the summary suggestion: Enteritis has no evidence of bacterial infection, and antibiotics are generally not used."
['fever'],How is the bowel movement? Is there a fever? Are there other discomforts?
"['diarrhea', 'stomach ache']",Do you have diarrhea? Is the pain to the left or to the right?
['stomach ache'],Do you have pressure pain in the right lower abdomen and pain when raising your hand?
"['nausea', 'Vomit']","Hello, do you have nausea, vomiting, and cold?"
['Gastrointestinal discomfort'],"Well, if the stomach is upset, you can take pantoprazole, daxi and so on."
['Helicobacter infection'],Cure? Have you been tested for Helicobacter pylori infection?
['Bloating'],"Then if you show up occasionally, you can pay attention to your diet to make it easier to digest and improve. Is your stomach up?"
['Loose stool'],Is it watery? Several times in line.
['allergy'],"When did your last menstrual period come? Are there any issues related to pregnancy, breastfeeding, or pregnancy preparation? Do you have a history of allergies?"
"['stomach ache', 'fever', 'Fatigue']","Do you have abdominal pain, fatigue, or fever?"
"['nausea', 'Vomit']","Nausea, vomiting, how many days have it been?"
['Loose stool'],"Now if the stool is formed, there is no need to take medicine to treat the intestinal tract. If it is not formed, you can take Mechangan orally for treatment."
['fever'],"There is no way, we are on duty at the fever clinic."
['Sticky stool'],"Hello, are there any symptoms besides mucus in stool?"
['diarrhea'],"If you do not have constipation or diarrhea, and your stools are in good shape and are all discharged, it is normal for a small amount of mucus to flow out along the intestinal wall."
['stomach ache'],"Hello, may I ask which part of the abdomen does the patient have pain? Is it pain in the entire abdomen or in a specific location? Is the stool normal?"
['Gastrointestinal discomfort'],"Hello, according to the situation you said, it should be considered that the stomach is upset due to improper or irregular diet. How long has it been? Irregular diet and schedule? Do you have chronic stomach problems?"
['indigestion'],"In addition, you must develop good eating and living habits. First, three meals a day must be eaten on time and must be eaten well. Do not eat spicy and irritating foods and greasy foods, do not eat cold foods and non-digestible foods, and do not overdrink Overeating, pay attention to a light diet, you can eat smaller meals."
['diarrhea'],"Hello, fat globules are fat cells. Are there symptoms of diarrhea?"
['diarrhea'],"Fat globules usually appear in patients with diarrhea, and you don’t have diarrhea, regardless of him, ha ha! !"
['hemorrhoid'],"Hello, this is Gastroenterology, I am very happy to serve you! You have hemorrhoids."
['Bloating'],"Weisu granules can be eaten mainly for bloating, while hydrotalcite is an analgesic and acid suppressant, and can be eaten if there is pain or pantothenic acid."
"['Reflux', 'Chest pain']",Is there any acid return? Chest pain is uncomfortable.
"['cough', 'fever']",Is there any fever? Do you have a cough.
['Fatigue'],Is there any breathing effort?
"['Reflux', 'bitter']","Is there any discomfort such as bitterness, acid reflux, etc.?"
['stomach ache'],Does your stomach hurt?
['stomachache'],Do you have stomachache?
['Helicobacter infection'],You can go to the hospital to do a breath test to check Helicobacter pylori.
['Bacterial infections'],"If there is this bacterial infection, it is easy to get gastritis. A type of bacteria in the stomach."
['indigestion'],"It may be caused by eating, indigestion."
['indigestion'],This situation is caused by indigestion.
['Dehydration'],"If it keeps hurting, go to the hospital to check it up and don't get dehydrated."
['Loose stool'],Are your stools loose?
['Bloating'],Is the belly swollen better?
['stomach ache'],"Where is the most obvious pain? For example, above or below the belly button, left or right, where is the most obvious pain when pressing the entire abdomen with your hand?"
['fever'],"There are also snacks, like potato chips, which are also high-calorie foods."
['sense of hunger'],"If you feel hungry, add some dietary fiber-rich foods such as green leafy vegetables to your meal, and ensure enough protein."
['Gastrointestinal discomfort'],"If the stomach is usually bad, you should not eat spicy food and drink alcohol. The cold medicine is fine. Now add Starshu."
['Vomit'],This medicine relieves colic and also treats vomiting.
['stomachache'],How long have you been in this situation? Do you have a stomachache?
['Reflux'],"Hyperacidity is generally caused by gastric diseases, such as gastritis and reflux gastritis."
['indigestion'],"Look at the thick and greasy tongue coating, typical gastrointestinal diseases, and indigestion."
"['stomach ache', 'Bloating']",How is the bowel movement? Is it normal abdominal distension and pain?
"['stomach ache', 'nausea', 'Vomit', 'Hematemesis']","Hello, do you have abdominal pain, nausea, or vomiting? Did you vomit blood?"
['Blood in stool'],"In this case, it is recommended that you do a stool occult blood test to determine if it is bleeding. If it is not bleeding and no other discomfort, it may be a problem with diet. You have recently paid attention to rest, eat less spicy and irritating things, and eat more light ones."
"['stomach ache', 'nausea', 'Vomit', 'Dizziness']","Yes, but in general bleeding, the most common is peptic ulcer, and then diseases such as gallbladder rupture, which will also be accompanied by abdominal pain, nausea, vomiting, dizziness, etc., you can go to the hospital for a simple check first, and you can rest assured."
['indigestion'],"You're welcome, Gastroenterology."
"['Hiccup', 'Reflux', 'Heartburn']","Are there any abnormal bruises, acid reflux, hiccups and heartburn?"
"['diarrhea', 'stomach ache']",Do you have abdominal pain and diarrhea?
['Reflux'],Maybe reflux esophagitis has committed.
"['diarrhea', 'Bloating', 'stomachache', 'Vomit', 'Hiccup', 'Reflux']","Are there acid reflux, hiccups, vomiting, bloating, stomach pain, constipation, diarrhea?"
['Restless'],"How long has this situation been? Do you eat regularly for three meals? Do you often eat too fast? Often feel stressed, bad mood, or anxious? And drink often?"
"['Hiccup', 'indigestion']","Frequent hiccups, this situation should be caused by functional dyspepsia and insufficient gastrointestinal motility. It is recommended to take some drugs that promote digestion and promote gastrointestinal motility, such as compound azimide tablets and mosapride tablets for symptomatic treatment, and the diet should be light. some."
"['Helicobacter infection', 'Reflux']","It should not be a big problem. If the symptoms are long and the symptoms are repeated, it is best to go to the outpatient department of the hospital's gastroenterology department to check the gastroscope to rule out reflux gastritis, peptic ulcer and gastric Helicobacter pylori infection."
['Fatigue'],Where was it going at the time? Did you feel weak at the time?
['Fatigue'],Are there any side-cutting symptoms now?
['Helicobacter infection'],"Helicobacter pylori infection has been treated, and atrophic intestinal metaplasia can delay its aggravation. But it will not recover after sterilization treatment."
['Perianal pain'],"If the anus is uncomfortable, go to the hospital to check the anus."
['hemorrhoid'],"Look for polyps, hemorrhoids, etc."
"['diarrhea', 'Gastrointestinal disorders']",Gastrointestinal disorders are sometimes dry stools and sometimes diarrhea.
['diarrhea'],It can be eaten together. Improve intestinal flora. Reduce constipation and diarrhea.
"['Bloating', 'fever', 'Vomit', 'Hiccup']","Do you have other symptoms such as bloating, vomiting, hiccups, fever, etc.?"
['Gastrointestinal disorders'],"His condition is considered to be likely to cause gastroenteritis or gastrointestinal dysfunction. It is recommended to eat lightly, keep warm, do not eat spicy, greasy and cold foods, drink more hot water, do not smoke or drink, and exercise properly after meals. You can take trimebutine, bifidobacteria triple live bacteria tablets and pantoprazole together to improve symptoms. In addition, you need to go to the hospital for a colonoscopy, etc. It is better to take a closer look."
"['nausea', 'Vomit']",Nausea and vomiting?
['cough'],"Is it dull pain or swelling pain, coughing?"
['Blood in stool'],Is there pus and blood in the stool?
['fever'],"Hello, did you eat something? Are you feverish?"
